,Rank2016,District,City,RegionName,County,Score2016,Score2015,Rank2015,SchoolDiggerRating,sold_15,sold_16,list_15,list_16,one_15,one_16,two_15,two_16,thre_15,thre_16,four_15,four_16,five_15,five_16,cond_15,cond_16,trip_15,trip_16,sfr_15,sfr_16
256,179.0,Redlands Unified,Redlands,92374,San Bernardino,0.727633,0.7019021,215,4.0,284583.333333,307933.333333,325616.666667,348004.166667,,,222333.333333,218386.916667,291354.166667,303733.25,377782.291667,389643.666667,,,,,,,329982.916667,349907.875
257,,Colton-Redlands-Yucaipa ROP,Redlands,92374,San Bernardino,(n/a),(n/a),(n/a),,284583.333333,307933.333333,325616.666667,348004.166667,,,222333.333333,218386.916667,291354.166667,303733.25,377782.291667,389643.666667,,,,,,,329982.916667,349907.875
258,181.0,Nuestro Elementary,Live Oak,95953,Sutter,0.7270924,0.8186008,104,4.0,178000.0,215000.0,,,,,,,,,,,,,,,,,,
259,378.0,Live Oak Unified,Live Oak,95953,Sutter,0.5517542,0.5935541,337,3.0,178000.0,215000.0,,,,,,,,,,,,,,,,,,
260,182.0,Fruitvale Elementary,Bakersfield,93308,Kern,0.7262959,0.6734621,246,4.0,177479.166667,178458.333333,195870.0,189311.625,,,82462.0833333,94447.875,,188135.416667,277503.428571,256064.333333,,,,,,,197426.363636,190475.0
261,700.0,Beardsley Elementary,Bakersfield,93308,Kern,0.3042782,0.3023503,693,1.0,177479.166667,178458.333333,195870.0,189311.625,,,82462.0833333,94447.875,,188135.416667,277503.428571,256064.333333,,,,,,,197426.363636,190475.0
262,812.0,Standard Elementary,Bakersfield,93308,Kern,0.1551075,0.1767175,792,0.0,177479.166667,178458.333333,195870.0,189311.625,,,82462.0833333,94447.875,,188135.416667,277503.428571,256064.333333,,,,,,,197426.363636,190475.0
263,183.0,Moorpark Unified,Moorpark,93021,Ventura,0.7257036,0.7094989,208,4.0,583916.666667,571750.0,647353.875,681966.5,,,,,524793.208333,549050.0,675274.041667,708602.041667,886556.1,909337.75,,,,,684688.75,713429.125
264,184.0,Clovis Unified,Clovis,93611,Fresno,0.7238308,0.7428426,167,4.0,264791.666667,279612.5,305792.791667,310049.833333,,,,,252592.708333,267333.333333,334286.541667,346139.583333,,,,,,,310571.25,313720.416667
265,185.0,Sonora Elementary,Sonora,95370,Tuolumne,0.7234487,0.6310107,289,4.0,230302.205883,227500.0,259170.208333,286393.791667,,,211727.083333,225366.666667,288195.833333,322779.166667,,,,,,,,,259791.25,287575.041667
266,475.0,Belleview Elementary,Sonora,95370,Tuolumne,0.4901684,0.5763184,369,2.0,230302.205883,227500.0,259170.208333,286393.791667,,,211727.083333,225366.666667,288195.833333,322779.166667,,,,,,,,,259791.25,287575.041667
267,571.0,Sonora Union High,Sonora,95370,Tuolumne,0.4223744,0.4603968,513,2.0,230302.205883,227500.0,259170.208333,286393.791667,,,211727.083333,225366.666667,288195.833333,322779.166667,,,,,,,,,259791.25,287575.041667
268,642.0,Curtis Creek Elementary,Sonora,95370,Tuolumne,0.3697464,0.4310789,555,1.0,230302.205883,227500.0,259170.208333,286393.791667,,,211727.083333,225366.666667,288195.833333,322779.166667,,,,,,,,,259791.25,287575.041667
269,,Tuolumne County Superintendent Of Schools,Sonora,95370,Tuolumne,(n/a),(n/a),(n/a),,230302.205883,227500.0,259170.208333,286393.791667,,,211727.083333,225366.666667,288195.833333,322779.166667,,,,,,,,,259791.25,287575.041667
270,186.0,Santee,Santee,92071,San Diego,0.72297,0.6963954,220,4.0,407912.916667,420708.333333,405779.166667,447907.5,,,,,401387.5,440904.166667,,516975.0,,,284016.583333,327083.333333,,,449265.666667,482940.041667
271,187.0,Rosemead Elementary,Rosemead,91770,Los Angeles,0.721953,0.7296943,187,4.0,484296.248117,459562.594267,501920.333333,517853.166667,,,,,,,,,,,,,,,530620.333333,540583.291667
272,198.0,Garvey Elementary,Rosemead,91770,Los Angeles,0.7151993,0.7053018,211,4.0,484296.248117,459562.594267,501920.333333,517853.166667,,,,,,,,,,,,,,,530620.333333,540583.291667
273,188.0,Evergreen Elementary,San Jose,95148,Santa Clara,0.7209398,0.7324244,181,4.0,732916.666667,859254.00454,761690.583333,861840.916667,,,,,,,,,,,,,,,787057.833333,896378.25
274,463.0,Mt. Pleasant Elementary,San Jose,95148,Santa Clara,0.4933373,0.3710938,624,2.0,732916.666667,859254.00454,761690.583333,861840.916667,,,,,,,,,,,,,,,787057.833333,896378.25
275,190.0,Novato Unified,Novato,94945,Marin,0.7195787,0.7403802,168,4.0,648303.401211,650881.862733,776854.166667,772166.625,,,,,,,,,,,,,,,,
276,192.0,San Lorenzo Valley Unified,Ben Lomond,95005,Santa Cruz,0.7189078,0.7331828,176,4.0,,,,,,,,,,,,,,,,,,,,
277,193.0,Richfield Elementary,Corning,96021,Tehama,0.718741,0.6516806,277,4.0,,,,,,,,,,,,,,,,,,,,
278,195.0,Kirkwood Elementary,Corning,96021,Tehama,0.7167763,0.586851,351,4.0,,,,,,,,,,,,,,,,,,,,
279,724.0,Corning Union High,Corning,96021,Tehama,0.2830234,0.3019009,694,1.0,,,,,,,,,,,,,,,,,,,,
280,798.0,Corning Union Elementary,Corning,96021,Tehama,0.1765379,0.2598777,739,0.0,,,,,,,,,,,,,,,,,,,,
281,194.0,Ocean View,Huntington Beach,92647,Orange,0.7182522,0.717357,200,4.0,619900.094267,656208.333333,648232.5,684912.458333,,,,,626622.222222,656787.5,707366.583333,737954.125,,,,,,,674774.583333,707470.416667
