,Unnamed: 0_x,RegionName,CrimeCases_x,Unnamed: 0.1,Population_x,StateCode,crime_rate,Unnamed: 0_y,sold_15,sold_16,list_15,list_16,one_15,one_16,two_15,two_16,thre_15,thre_16,four_15,four_16,five_15,five_16,cond_15,cond_16,trip_15,trip_16,sfr_15,sfr_16,Unemploy_Rate,Population_y,CrimeCases_y,Score2016,Score2015,Rank2016,Highest Rank City 2016,Zip2016,Rank2015,Highest Rank City 2015,Zip2015,Number Students,Number of Ranked Elementary Schools,Number of Ranked Middle Schools,Number of Ranked High Schools,total_income
42,42,Humboldt,2062.0,12,135727,California,0.0151922609356,34,243625.0,258887.5,276333.333333,295104.125,,,,,,,,,,,,,,,276902.166667,295700.0,5.5,135727,2062.0,0.53517916,0.55363009,61.0,Arcata,95501,53.0,Arcata,95501,18167.0,30.0,20.0,14.0,53036
43,43,Inyo,330.0,14,18260,California,0.0180722891566,52,300000.0,294250.0,326608.333333,324465.416667,,,,,277683.333333,315405.833333,,,,,,,,,327558.333333,323754.166667,5.8,18260,330.0,0.454569225,0.45005045,207.0,Big Pine,92384,197.0,Big Pine,92384,5194.0,4.0,3.0,4.0,7957
44,44,Lake,2087.0,17,64591,California,0.0323110030809,39,193558.333333,198820.0,242570.833333,249362.5,,,182620.833333,193454.083333,248141.666667,266216.666667,362875.0,360608.333333,,,,,,,243166.666667,249362.5,7.8,64591,2087.0,0.284191933333,0.359855583333,344.0,Kelseyville,95451,155.0,Kelseyville,95451,9165.0,13.0,8.0,6.0,26993
45,45,Lassen,497.0,18,31345,California,0.0158557983729,46,131600.0,145752.205875,,,,,,,183627.777778,198287.5,,,,,,,,,,,7.4,31345,497.0,0.504673875,0.457443125,152.0,Bieber,96009,154.0,Bieber,96009,4451.0,7.0,8.0,4.0,9707
46,46,Mariposa,714.0,22,17531,California,0.0407278535166,51,211091.666667,212120.0,260716.666667,277841.666667,,,,,,,,,,,,,,,262133.333333,279054.166667,8.1,17531,714.0,0.5651551,0.5278112,363.0,Mariposa,95338,428.0,Mariposa,95338,1868.0,4.0,4.0,1.0,7345
47,47,Mendocino,1560.0,23,87649,California,0.0177982635284,37,305520.833333,334033.333333,433671.75,469679.166667,,,,,626375.0,624395.833333,,,,,,,,,433838.416667,470041.666667,6.1,87649,1560.0,0.390768785714,0.497700225,498.0,Boonville,95415,335.0,Boonville,95415,13009.0,14.0,11.0,11.0,34017
48,48,Modoc,176.0,25,8965,California,0.0196319018405,55,,,141639.583333,145358.333333,,,,,151102.083333,156166.666667,,,,,,,,,141608.333333,144354.166667,9.4,8965,176.0,0.4741756,0.5149147,508.0,Alturas,96101,449.0,Alturas,96101,976.0,1.0,1.0,1.0,3745
49,49,Mono,112.0,26,13909,California,0.00805234021137,54,314987.5,316430.0,383858.333333,413908.333333,238612.5,253612.5,357741.666667,371479.166667,506325.0,540240.625,828400.0,813616.666667,,,346991.666667,366108.333333,,,502200.0,525770.833333,5.4,13909,112.0,0.63625185,0.7040064,242.0,Bridgeport,93517,184.0,Bridgeport,93517,2111.0,3.0,2.0,2.0,4906
50,50,Nevada,1715.0,29,98877,California,0.0173447819007,35,364007.083333,375494.166667,433154.166667,477993.75,,,309241.666667,343208.333333,430741.666667,469397.875,692166.666667,683412.5,686724.5,701031.25,,,,,447816.666667,488960.416667,5.1,98877,1715.0,0.631904554545,0.68115352,54.0,Grass Valley,95945,71.0,Grass Valley,95945,16238.0,18.0,13.0,11.0,40993
51,51,Plumas,706.0,32,18409,California,0.0383508066707,49,219449.42308,217945.833333,309004.166667,312745.833333,,,204312.5,234597.916667,327450.0,325687.5,,,,,,,,,315916.666667,321712.5,12.4,18409,706.0,0.5826462,0.6015241,334.0,Quincy,95971,320.0,Quincy,95971,2161.0,5.0,5.0,5.0,8217
52,52,Sierra,68.0,46,2967,California,0.0229187731716,56,150000.0,,,,,,,,,,,,,,,,,,,,9.0,2967,68.0,,,,Loyalton,96118,,Loyalton,96118,372.0,,,,1252
53,53,Siskiyou,394.0,47,43554,California,0.0090462414474,44,144717.5,144204.166667,207947.916667,231854.166667,,,,,231641.666667,237016.666667,,,,,,,,,210537.5,232822.916667,10.6,43554,394.0,0.458439016667,0.49013088,245.0,Dorris,95568,190.0,Dorris,95568,6186.0,10.0,9.0,8.0,19133
54,54,Tehama,846.0,52,63308,California,0.0133632400329,40,174250.0,186979.166667,210807.5,217993.75,,,151525.0,156520.833333,223808.333333,226395.833333,259836.25,291368.333333,,,,,,,212326.25,218970.833333,7.7,63308,846.0,0.432081136364,0.47305761,193.0,Corning,96021,277.0,Corning,96021,10570.0,14.0,10.0,6.0,23704
55,55,Trinity,442.0,53,13069,California,0.0338204912388,53,186246.224563,241249.0196,267358.333333,289066.666667,,,,,,,,,,,,,,,267441.666667,288487.5,8.0,13069,442.0,0.6139369,0.5905671,63.0,Big Bar,95526,124.0,Big Bar,95526,1517.0,3.0,3.0,0.0,5484
56,56,Tuolumne,1870.0,55,53709,California,0.0348172559534,41,210454.166667,220595.833333,245458.333333,267845.833333,,,199470.833333,221562.416667,264324.958333,292875.0,380278.75,374316.666667,,,,,,,246032.916667,270006.125,6.9,53709,1870.0,0.505469,0.520531155556,185.0,Columbia,95310,289.0,Columbia,95310,6120.0,10.0,9.0,5.0,22133
57,57,San Francisco,983512.0,38,864816,California,1.13725000463,11,1107920.83333,1173833.33333,1021083.33333,1123578.625,778854.166667,812199.0,1046000.0,1164208.33333,1331000.0,1481999.91667,1643771.55556,1842333.33333,,,1014270.83333,1053916.66667,1677916.66667,1934833.33333,1053750.0,1237874.95833,3.3,864816,983512.0,0.72428775,0.5967842,72.0,San Francisco,94102,331.0,San Francisco,94102,58592.0,75.0,25.0,22.0,353287
